REId,name_short,v_empty_pp,v_full_pp,phi_losses,phi_nonctrl,phi_capex_adj,phi_cable,sum_phi,residual_vs_current_pp
REL00171,Smedjebacken Energi,0.07238104870441742,0.13391675430109995,0.08555724400992337,-0.10426106877050127,0.04880791764865685,0.031431612708603576,0.061535705596682526,-0.9276189512955826
REL00173,Sollentuna Energi,-0.36572621324828525,-0.3821604987080618,-0.0025130937237799467,-0.09170550280074018,-0.005703397316792848,0.08348770838153644,-0.016434285459776543,-1.3657262132482852
REL00175,Staffanstorps Energi,1.2337803866701247,1.8244601098569957,0.009329569399807447,0.3432179257346697,0.1681093130774432,0.07002291497495057,0.5906797231868709,-0.10650845369599726
REL00177,Sturefors El,-0.43162308554863804,0.044398610198204125,-0.14395291265564175,0.6839615395806935,-0.15418609318252247,0.09019916200431281,0.47602169574684206,-1.431623085548638
REL00178,Sundsvall Elnät,1.0001398708490372,-0.10626143995114967,-0.04704024747459919,-1.0868871868414334,-0.0526577785703558,0.08018390208620145,-1.1064013108001869,-0.3127384934312747
REL00182,Njudung Sävsjö,0.4104220573972084,1.4083731879302785,-0.2173066637153072,1.059854355122991,0.09207735822508814,0.06332608090029815,0.9979511305330702,-0.5895779426027916
REL00183,Söderhamn Elnät,0.7174803749810277,-0.1712703131213411,-0.012517508126269616,-0.7752519584576845,-0.1651175693918631,0.06413634787344838,-0.8887506881023688,-0.3750360165871043
REL00184,Södra Hallands Kraft,1.2729116419181175,1.532239997758067,0.11242577602966763,0.03942907658522528,0.08105567999249959,0.026417823232556994,0.25932835583994945,-0.1841815437868095
REL00185,Sölvesborg Energi,0.8333345461996267,1.5947466749731687,-0.012209304003355884,0.876145989145353,-0.16730344050780074,0.06477888413934559,0.761412128773542,-0.3482648345647823
REL00186,Telge Nät,-0.1481873953956936,-0.4318594304211887,-0.20617669836592764,-0.1482642251512317,0.06045704903858788,0.01031183945307638,-0.28367203502549504,-1.1481873953956936
REL00187,Tibro Elnät,0.349104677344525,0.6137805066257496,0.0035773400045069313,0.3151386285367356,-0.02913774660118773,-0.024902392658830246,0.2646758292812245,-0.650895322655475
REL00191,Trollhättan Energi,-0.43162308554863804,-0.04417626451496126,0.03510641902919054,0.13978513791952732,0.12224599234403888,0.09030927174092003,0.3874468210336767,-1.431623085548638
REL00193,Töre Energi,1.1288367720041936,-0.15215704937867613,-0.03017480314582155,0.31608232059488295,-0.2704530046496863,-1.2964483341822448,-1.2809938213828698,-0.6956233378528025
REL00195,Uddevalla Energi,0.0007859751085970146,-0.15947771669158062,0.016544003846823602,-0.16946727292107833,-0.08170311279430778,0.07436269006838489,-0.1602636918001776,-0.999214024891403
