REId,name_short,req_base_pp,dpp_losses,dkr_losses,dpp_nonctrl,dkr_nonctrl,dpp_capex_adj,dkr_capex_adj,dpp_cable,dkr_cable
REL00075,Hofors Elverk,0.09507356368008146,0.14154503532655127,730.0014974152954,-0.5815130904527233,-2977.4871838126,0.004390893345318503,22.614481169953365,0.02133174435645646,109.88379469430708
REL00077,Härnösand Elnät,1.0882257940408646,0.06339972533992988,841.6878275963609,-0.5038430620889933,-6651.334898437559,0.2592381694124013,3448.3275407755573,0.1510715046351807,2007.3583568211343
REL00078,Härryda Energi,1.8244601098569957,0.0,0.0,-0.10881690938864264,-2086.358975468749,0.0,0.0,0.0,0.0
REL00080,Höganäs Energi,0.8322890723276632,0.17276556369001383,2793.153361577326,0.07798918530663723,1259.685372552267,0.06999829544365177,1130.5261371131764,-0.03954406660997556,-637.9706686973459
REL00083,Jukkasjärvi,1.8244601098569957,0.0,0.0,-0.03718260437612919,-170.30766648463396,0.0,0.0,-0.21827834391594525,-997.988871322641
REL00085,Jämtkraft,1.603369066295346,-0.09879676049686648,-6720.889454067859,-0.9962477817121895,-67171.48354414245,0.11644843339726485,7938.620221004647,-0.13903318517198837,-9454.295473212798
REL00086,Jönköping Energi,0.45114025413945935,0.09723776818297836,4396.501246071784,-0.3890575139459562,-17505.6737621036,0.3952059800459873,17922.016149433934,0.10350687655666935,4680.244986498292
REL00087,Kalmar Energi,-0.18175374433851976,-0.002428980281765636,-38.73462673047925,0.18386869286747265,2937.6022404216365,0.01692945184701422,270.02404044502237,0.16054052653391437,2564.297919847465
REL00090,Karlskoga Elnät,0.904279063085256,0.07290846576613053,1362.9921111063377,-0.19919230989169368,-3713.740588071878,0.13609439795410072,2545.826515986264,0.0012543117796859349,23.432093862833426
REL00091,Affärsverken Karlskrona,1.5229816058431211,-0.14402539938851433,-2929.6135555258734,-0.06435020698747351,-1309.9797903378822,-0.1998466620294126,-4062.819774837564,-0.12867207315461204,-2617.7111286405707
REL00092,Karlstads Elnät,0.48659520066725026,-0.05309321560336144,-1243.3393341569372,-0.431281096720193,-10061.728828535208,-0.06433749545544654,-1506.489398658512,0.14245680309346032,3342.574041885149
REL00093,Tekniska verken Katrineholm,-0.0023580365287267924,0.01515651680261687,261.18372454893404,-0.18191667995677285,-3128.695797949325,0.4878992131023496,8447.533825022303,-0.07483984140935762,-1288.5127198628675
REL00098,Kristinehamns Elnät,1.4343427465515424,0.11877360467131837,1372.4857207870282,0.12378472610601321,1430.4627895780923,0.0785489387148619,907.3080736842003,0.06990914518532065,807.441732183941
REL00100,Kungälv Energi,0.7020067506505079,0.21421528009857305,4623.782759960446,-0.37082372843417755,-7957.609143302015,-0.08833956660534437,-1901.0470586790907,0.12164927424316296,2623.347957860282
REL00103,Landskrona Energi,-0.2760983669952588,-0.12884512547617355,-2241.949539675902,0.42967137525137256,7518.361764860128,0.20056190184789546,3501.3768219786966,0.1609951318778169,2809.513244516472
REL00106,Lerum Energi,0.9615123507924483,0.05986817711582937,1015.2672391389133,-0.43136042144589215,-7279.498904140197,-0.010716253481368732,-181.60267535633466,0.15516489941929112,2633.841907836806
REL00111,Tekniska verken Linköping,-0.43162308554863804,0.026679593077205688,1268.0605717563958,-0.054816441224003754,-2603.2563566039425,1.0584103788130128,50828.26698389473,0.16174828239505779,7698.184909559819
REL00112,Ljungby Energi,-0.43162308554863804,0.026679593077205688,211.91381086031652,0.9369344018826165,7510.190675440237,0.04605501151337954,365.88220146856065,0.16174828239505779,1286.4935139751374
REL00113,Ljusdal Elnät,1.009267905676503,0.1461456944955808,892.9454186239109,-0.5836820810158461,-3540.4755627270897,0.03416801821474191,208.53301150626703,-0.07924653641087076,-483.10912672991435
REL00118,Luleå Energi,0.3697783827123713,0.16907414429003786,5302.457314981972,-0.8562179094850131,-26579.06734442858,0.135528624278769,4248.988894735916,0.02687501784310875,841.6515409325348
REL00121,LEVA i Lysekil,0.4298732914638226,0.10275985665821885,933.0692392530505,0.2758257872090164,2508.853190367045,0.22134141601937163,2012.1805771306604,0.011822682980655586,107.25371400105269
REL00123,Malung-Sälens Elnät,0.9077183586784221,-0.24778403430210094,-7275.0956162551665,0.9167417511785736,27229.95378173719,0.4078957754177104,12054.501848771266,-0.3330700779605067,-9770.848708965459
