REId,name_short,phi_mechanic,phi_input,reconciliation,interaction,residual_total,C1_legacy_2in,C4_twosided_1in,published
REL00148,Partille Energi,-0.27907015972837845,-0.09002447976736994,0.029524276576609054,-0.27311779403926817,-0.33957036291913933,1.2093561450103651,0.8402615055146168,1.179831868433756
REL00149,PiteEnergi,-1.179088476713469,-0.1374312665942623,8.881784197001252e-16,-0.2748625331885246,-1.3165197433077305,1.0000000000000009,-0.3165197433077305,1.0
REL00152,Ronneby Miljöteknik,-0.27480246050065604,-0.08755918302997268,-0.010014660316870927,-0.2689230837747969,-0.37237630384749965,1.7269670572636953,1.3646054137330665,1.7369817175805662
REL00156,Rödeby Elverk,-0.04860633725166652,-0.02940474617122435,-4.440892098500626e-16,-0.0588094923424487,-0.07801108342289131,1.8244601098569957,1.7464490264341048,1.8244601098569961
REL00157,Sala-Heby Energi,-0.9396485801397014,-0.12330936607944376,8.881784197001252e-16,-0.24661873215888752,-1.0629579462191443,1.0000000000000009,-0.0629579462191443,1.0
REL00158,Sandhult-Sandared,-1.2896914726029718,-0.14193161294566714,8.881784197001252e-16,-0.2838632258913343,-1.431623085548638,1.0000000000000009,-0.43162308554863804,1.0
REL00160,SEVAB,-0.27545818667146227,0.23221086951862313,-0.10960766523993026,-0.26758002804452286,-0.1528549823927694,1.4091678765415727,1.3659205593887336,1.518775541781503
REL00163,Sjogerstads El,-0.27537897314520166,-0.12273718054263139,-0.0005476870438281267,-0.2697051979699161,-0.39866384073166117,1.6823205192985968,1.2842043656107638,1.682868206342425
REL00164,Sjöbo Elnät,-0.2781486298433111,-0.0715447550009185,-0.00041389271838720987,-0.2720994252744413,-0.35010727756261684,1.3068838198420307,0.9571904349978011,1.307297712560418
REL00167,Skurups Elverk,-1.0731395165876678,0.07462034306963683,8.881784197001252e-16,0.14924068613927366,-0.9985191735180301,1.0000000000000009,0.001480826481969899,1.0
REL00168,Skyllbergs Bruk,-0.44019037728416643,-0.11426939633679689,8.881784197001252e-16,-0.22853879267359378,-0.5544597736209624,1.0000000000000009,0.44554022637903756,1.0
REL00169,Skånska Energi,-0.5980339773746901,-0.0798891966826587,8.881784197001252e-16,-0.1597783933653174,-0.6779231740573479,1.0000000000000009,0.3220768259426521,1.0
REL00170,Skövde Energi,-0.9674627920415513,-0.11658844587593142,8.881784197001252e-16,-0.23317689175186285,-1.0840512379174818,1.0000000000000009,-0.08405123791748181,1.0
REL00171,Smedjebacken Energi,-0.8350177933929892,-0.09260115790259427,8.881784197001252e-16,-0.18520231580518853,-0.9276189512955826,1.0000000000000009,0.07238104870441742,1.0
REL00173,Sollentuna Energi,-1.2434501727174085,-0.1222760405308776,8.881784197001252e-16,-0.2445520810617552,-1.3657262132482852,1.0000000000000009,-0.36572621324828525,1.0
REL00175,Staffanstorps Energi,-0.27684389040735224,0.3805971542984232,-0.21026171758706824,-0.26799209181709305,-0.10650845369599726,1.1300271227790537,1.2337803866701247,1.340288840366122
REL00177,Sturefors El,-1.2896914726029718,-0.14193161294566714,8.881784197001252e-16,-0.2838632258913343,-1.431623085548638,1.0000000000000009,-0.43162308554863804,1.0
REL00178,Sundsvall Elnät,-0.2778315418080046,-0.055063681481426485,0.02015672985815642,-0.2716858413825296,-0.3127384934312747,1.3330350941384683,1.0001398708490372,1.312878364280312
REL00182,Njudung Sävsjö,-0.4666741236822314,-0.12290381892056113,8.881784197001252e-16,-0.24580763784112225,-0.5895779426027916,1.0000000000000009,0.4104220573972084,1.0
REL00183,Söderhamn Elnät,-0.2995008860248838,0.016981261005910575,-0.09251639156813107,-0.2352750965316286,-0.3750360165871043,1.0000000000000009,0.7174803749810277,1.092516391568132
REL00184,Södra Hallands Kraft,-0.27663130998940577,0.4305876701775624,-0.3381379039749661,-0.26747280960122133,-0.1841815437868095,1.1189552817299608,1.2729116419181175,1.457093185704927
REL00185,Sölvesborg Energi,-0.279372237427733,0.02561500488851287,-0.09450760202556219,-0.27268356252259096,-0.3482648345647823,1.0870917787388468,0.8333345461996267,1.181599380764409
REL00186,Telge Nät,-1.1394085045000613,-0.008778890895633218,8.881784197001252e-16,-0.017557781791266436,-1.1481873953956936,1.0000000000000009,-0.1481873953956936,1.0
REL00187,Tibro Elnät,-0.5824614877986356,-0.06843383485684029,8.881784197001252e-16,-0.13686766971368058,-0.650895322655475,1.0000000000000009,0.349104677344525,1.0
REL00191,Trollhättan Energi,-1.2896914726029718,-0.14193161294566714,8.881784197001252e-16,-0.2838632258913343,-1.431623085548638,1.0000000000000009,-0.43162308554863804,1.0
REL00193,Töre Energi,-0.2766162700237107,-0.13385849256566384,-0.28514857526342796,-0.27098729504850816,-0.6956233378528025,1.5393115345935682,1.1288367720041936,1.8244601098569961
REL00195,Uddevalla Energi,-0.8706798801329962,-0.12853414475840763,8.881784197001252e-16,-0.25706828951681526,-0.999214024891403,1.0000000000000009,0.0007859751085970146,1.0
REL00201,Vallebygdens Energi,-0.9158653255057325,0.23189453415157213,8.881784197001252e-16,0.46378906830314426,-0.6839707913541595,1.0000000000000009,0.3160292086458405,1.0
REL00203,Vara Energi,-0.3730833603551864,-0.08660918211750301,8.881784197001252e-16,-0.17321836423500603,-0.45969254247268854,1.0000000000000009,0.5403074575273115,1.0
REL00204,Varberg Energi,-0.48238447157268327,-0.11544016838226367,8.881784197001252e-16,-0.23088033676452735,-0.5978246399549461,1.0000000000000009,0.40217536004505394,1.0
REL00205,Varbergsortens Elkraft,-0.2505575297057083,-0.045154241463030154,-0.01845027443438907,-0.22070112691690014,-0.31416204560312755,1.7592637878615758,1.4635520166928373,1.7777140622959648
REL00235,Värnamo Elnät,-0.8021833539385681,-0.12680072143124166,8.881784197001252e-16,-0.2536014428624833,-0.9289840753698089,1.0000000000000009,0.07101592463019113,1.0
REL00239,Västerviks Elnät,-0.8923941673879665,-0.11474229963811533,8.881784197001252e-16,-0.22948459927623066,-1.007136467026081,1.0000000000000009,-0.00713646702608095,1.0
REL00242,Västra Orust Energi,-0.2757094218896694,-0.07860859573832757,-0.01136671754136076,-0.26975576180363614,-0.36568473516935773,1.609025793278862,1.254707775650865,1.6203925108202228
REL00243,Växjö Energi,-0.2799567697086891,-0.13326017263883827,0.07145557051959583,-0.27425938933527405,-0.34176137182793154,1.134915047073748,0.7216981047262205,1.063459476554152
REL00244,Ystad Energi,-0.2786790494761604,-0.1336621696385487,-0.026765296720832055,-0.2730089290808646,-0.43910651583554117,1.2889586326380709,0.8766174135233618,1.315723929358903
REL00246,Ålem Energi,-0.27532119313754544,0.04565834314665951,-0.09035925888909402,-0.2686060505988186,-0.32002210887997995,1.564306391391579,1.334643541400693,1.654665650280673
REL00249,Årsunda Kraft,-0.3232870839541824,0.13915717702329689,8.881784197001252e-16,-0.18528249091536164,-0.1841299069308846,1.0000000000000009,0.8158700930691154,1.0
REL00255,Östra Kinds Elkraft,-1.2896914726029718,-0.14193161294566714,8.881784197001252e-16,-0.2838632258913343,-1.431623085548638,1.0000000000000009,-0.43162308554863804,1.0
REL00257,Övik Energi,,,0.0,,,1.0,,1.0
