REId,name_short,C1_legacy_2in,C2_twosided_2in,C3_legacy_1in,C4_twosided_1in,phi_mechanic,phi_input
REL00146,Oskarshamn Energi,1.0000000000000009,0.009738296141481584,1.0000000000000009,-0.26376916930304084,-1.1270154365807805,-0.1367537327222612
REL00147,Oxelö Energi,1.0000000000000009,-0.0986348051854935,1.0000000000000009,-0.38620463357431634,-1.2424197193799058,-0.14378491419441142
REL00148,Partille Energi,1.1798318593619905,1.0846139077395067,1.1999294397948335,0.827401451442733,-0.23387296998729212,-0.11855743793196538
REL00149,PiteEnergi,1.0000000000000009,0.041255369145343224,1.0000000000000009,-0.23988128154175392,-1.0993129561982062,-0.14056832534354857
REL00152,Ronneby Miljöteknik,1.6655217512046905,1.571664471279277,1.707114948095545,1.3401726581887985,-0.23039978491607993,-0.09494930809981206
REL00156,Rödeby Elverk,1.8244601098569957,1.8244601098569957,1.8244601098569957,1.7890150860891074,-0.017722511883944136,-0.017722511883944136
REL00157,Sala-Heby Energi,1.0000000000000009,0.23379919654378245,1.0000000000000009,-0.017060318445449862,-0.8916305609508346,-0.12542975749461616
REL00158,Sandhult-Sandared,1.0000000000000009,-0.0986348051854935,1.0000000000000009,-0.38620463357431634,-1.2424197193799058,-0.14378491419441142
REL00160,SEVAB,1.5187755255757773,1.4245098850266702,1.6894304539781357,1.322295298557874,-0.23070039798468445,0.034220170966781094
REL00163,Sjogerstads El,1.6828682173971377,1.5890590524447967,1.6944359377409235,1.3273553854654674,-0.23044485861389852,-0.12506797331777175
REL00164,Sjöbo Elnät,1.3072976903026001,1.2124393728195404,1.3722392326582344,1.0016216199314254,-0.23273796510493439,-0.07293810526624034
REL00167,Skurups Elverk,1.0000000000000009,-0.014167041541657266,1.0000000000000009,0.11704327456718566,-0.9485618834872367,0.06560515805442146
REL00168,Skyllbergs Bruk,1.0000000000000009,0.7279118082398117,1.0000000000000009,0.48539220056051935,-0.39334799559983535,-0.12125980383964619
REL00169,Skånska Energi,1.0000000000000009,0.3034723646448745,1.0000000000000009,0.16109566394006958,-0.7677159857075289,-0.07118835035240245
REL00170,Skövde Energi,1.0000000000000009,-0.0986348051854935,1.0000000000000009,-0.15149599611022913,-1.1250654006478622,-0.026430595462367812
REL00171,Smedjebacken Energi,1.0000000000000009,0.3967831007900102,1.0000000000000009,0.12568813564506343,-0.7387643817824641,-0.1355474825724734
REL00173,Sollentuna Energi,1.0000000000000009,0.021222399440534723,1.0000000000000009,-0.2624778780266235,-1.1206277392930453,-0.1418501387335791
REL00175,Staffanstorps Energi,1.3402888156086146,1.2455232842742303,1.6723280678068608,1.3050062660088457,-0.23104366656619968,0.19576111696643084
REL00177,Sturefors El,1.0000000000000009,0.6036430409013027,1.0000000000000009,0.359939223274619,-0.51820886791204,-0.12185190881334185
REL00178,Sundsvall Elnät,1.3128783448171033,1.2180357312108647,1.4105620724154777,1.0403675535922474,-0.23251856621473443,-0.03999222501012145
REL00182,Njudung Sävsjö,1.0000000000000009,0.3288011333732799,1.0000000000000009,0.19849407843464117,-0.7363523940960404,-0.06515352746931935
REL00183,Söderhamn Elnät,1.0925163619389,0.9970510056595661,1.1584128573141284,0.7854226073247039,-0.2342278031343792,-0.07286595147981689
REL00184,Södra Hallands Kraft,1.4570932054861707,1.3626552092077748,1.6848134163689465,1.317627885578565,-0.2308117635343887,0.09134644362678301
REL00185,Sölvesborg Energi,1.1815993839108918,1.086386431647024,1.2612449055994235,0.8893982234486009,-0.23352981720734522,-0.05867134325494572
REL00186,Telge Nät,1.0000000000000009,-0.0986348051854935,1.0000000000000009,-0.36538738599699583,-1.2320110955912456,-0.13337629040575116
REL00187,Tibro Elnät,1.0000000000000009,0.6380159899140203,1.0000000000000009,0.39686661821067837,-0.48255869593765155,-0.12057468585167097
REL00191,Trollhättan Energi,1.0000000000000009,-0.0986348051854935,1.0000000000000009,-0.38620463357431634,-1.2424197193799058,-0.14378491419441142
REL00193,Töre Energi,1.4849421729236534,1.3905820456361795,1.486389753509143,1.1170304853016955,-0.23185969774746074,-0.13605198987449718
REL00195,Uddevalla Energi,1.0000000000000009,0.3643455995017586,1.0000000000000009,0.11776927694671091,-0.7589425617757661,-0.12328816127752384
REL00201,Vallebygdens Energi,1.0000000000000009,-0.0697606831001174,1.0000000000000009,0.3604405985279113,-0.8546600422861039,0.21510064081401437
REL00203,Vara Energi,1.0000000000000009,0.7644257021138356,1.0000000000000009,0.5958178183142593,-0.3198782397859534,-0.08430394189978818
