REId,name_short,v_empty,d_losses,d_grid_subscription,d_grid_connection,d_feed_in,d_capacity_reserve,d_capex_adj,d_cable
REL00092,Karlstads Elnät,0.5440006872844627,-0.08905062048047974,-0.5643342632584814,-0.03330945024355714,0.23542590757898996,-0.02696123963683572,-0.07601273343207371,0.09603811899046022
REL00093,Tekniska verken Katrineholm,-0.20905591808998425,0.038135020405150044,-0.28839020242472646,0.006825129110832329,0.15359160329682098,-0.027576572329601756,0.5273249824025661,-0.010708026487038502
REL00098,Kristinehamns Elnät,1.4820966854006468,0.10818097889162548,0.09410762570229991,0.006489614019744572,0.040114180597372595,-0.02622005964305618,0.09001349798745117,0.12221636895304311
REL00100,Kungälv Energi,0.7485589779334889,0.19169698136352054,-0.38436790237763585,-0.0058716917922474465,-0.0035890399195714906,-0.026797260507449572,-0.0773404405027156,0.12255395854832152
REL00103,Landskrona Energi,-0.38620463357431634,-0.07422390846678617,0.6086768113129915,0.006861601395824479,0.11228634396879267,-0.027724038951393304,0.1651685775712508,0.1629190871463848
REL00106,Lerum Energi,0.8969235278882604,-0.019386508545760073,-0.4494569548794569,0.006603169020347188,0.04182840945836652,-0.02754499365031915,-0.03288781931238827,0.1568013119620515
REL00111,Tekniska verken Linköping,-0.38620463357431634,-0.07422390846678617,-0.2358031184158449,0.006861601395824479,0.05739204492180017,-0.027724038951393304,0.899843719672988,0.1629190871463848
REL00112,Ljungby Energi,-0.38620463357431634,-0.07422390846678617,0.9382500986064524,0.006861601395824479,0.05739204492180017,-0.027724038951393304,0.05731563734722167,0.1629190871463848
REL00113,Ljusdal Elnät,1.0527719391960844,0.09565773728392735,-0.5786510316474036,-0.022348921117854026,0.02152261083159246,-0.02655584692141666,0.0449747290879543,-0.01171559939963096
REL00118,Luleå Energi,0.31134146149931485,0.14667196251452186,-0.9333492134894761,0.006310693628375219,-0.009794848438327008,-0.027149376157020733,0.13234921673519473,0.0880689798851586
REL00121,LEVA i Lysekil,0.4268980050999627,0.10435577273357755,0.21954878486929452,-0.03370840439171907,0.14592466010692196,-0.027055714903245764,0.22847230260119034,0.07122663478043023
REL00123,Malung-Sälens Elnät,1.0056328188180252,0.022283002334932966,0.15672570851121836,0.8188272910389705,-0.05293657144533892,-0.06466490489969168,0.3831336623497217,0.15184091622606477
REL00126,Mellersta Skånes Kraft,1.5919501030108751,0.2167822986396395,-0.6828698681899503,0.006468587404429016,0.04210744891626206,-0.02613505099327007,-0.04213522309399753,0.13013574265039463
REL00127,Mjölby Kraft,1.538678092302903,0.08987941727507387,-0.640971079595154,0.0029856465858957293,0.20429893083595552,-0.026176228867269558,0.26114923239721755,-0.04441189277311075
REL00128,Mölndal Energi,-0.37120397887215884,0.13206459345150856,-0.05667211531902305,0.000587750222069694,0.042391390219642666,-0.02866488860440164,0.42821211767394285,0.1628457481651968
REL00130,Nacka Energi,1.5406171426347148,-0.13002414733811474,-0.6572151589697262,0.09704685277420744,0.0030266934426315117,-0.02967664294946104,0.28384296722228086,0.10131745714825335
REL00133,Norrtälje Energi,0.7326397348875746,0.09394351247336008,0.07604770391922422,0.007196914377560759,0.14394560758159702,-0.026809973965113976,0.48062951222553885,0.1575673448195758
REL00135,Nossebroortens Energi,0.7336897207753879,0.06424457389127003,0.6949559095962066,0.006635317129455309,0.14118081840466257,-0.026809135175498433,0.18906850431883448,0.14014881343051844
REL00137,Nybro Elnät,0.8036671958256303,-0.0839625998595217,0.267965520834057,0.006621509908244505,0.16789305809703503,-0.026753311925165058,0.20287670587972872,0.04835780834266945
REL00139,Näckåns Elnät,1.0374802329623067,-0.22411887628976945,0.022692485973463405,0.00657565323822773,-0.18597727504201522,-0.04923511554553173,0.31439280224005994,0.15614984291281164
REL00141,Nässjö Affärsverk,-0.3335495119590193,0.021371348840426574,0.7186599565667584,-0.0322593075433697,0.004736923306503105,-0.02788550286542124,0.1445397226147449,0.11164825145725255
REL00143,Olofströms Kraft,0.15568833648560432,0.05666759227886953,0.06257621940206626,0.006750843661684769,0.05018540552532702,-0.027276221495076136,-0.030422313008870994,-0.0594087845376956
REL00144,Olseröds El,1.8244601098569957,0.0,-0.2027428484457916,0.0,0.0,0.0,-0.1013724630429369,-0.6325042806392123
REL00146,Oskarshamn Energi,-0.26376916930304084,-0.14183197413926152,0.7693693796381185,0.006836366111384606,0.12488949863118659,-0.027622006213867678,0.008577771625062347,0.051114739357027705
REL00147,Oxelö Energi,-0.38620463357431634,-0.07422390846678617,-0.2358031184158449,0.006861601395824479,0.05739204492180017,-0.027724038951393304,0.05731563734722167,0.1629190871463848
REL00148,Partille Energi,0.827401451442733,-0.06523447496924462,-0.623014789296894,0.0014741194927614387,0.07523985641517683,-0.026771576276996,0.21016614338393858,0.11424452436332722
REL00149,PiteEnergi,-0.23988128154175392,-0.22054726049934859,-0.32505316542779106,0.026483831980494976,0.009757583257108404,-0.027602157440753672,0.03193948962788573,0.16220557566916094
REL00152,Ronneby Miljöteknik,1.3401726581887985,-0.057508822372387414,-0.21736917103492015,0.006516914272491903,-0.036678499068876214,-0.02633043264410606,-0.02513700518820272,-0.09074208932582373
REL00156,Rödeby Elverk,1.7890150860891074,0.03544502376788827,-0.5532473999982246,0.006431095003445186,0.03544502376788827,-0.025983473730795126,-0.14027600640620363,-0.10341808128733199
REL00157,Sala-Heby Energi,-0.017060318445449862,0.28095518445138135,-0.1863053297136874,-0.04805102751576085,0.12955478845685375,-0.02741792559423084,-0.0020194226578174046,0.16048651966859007
REL00158,Sandhult-Sandared,-0.38620463357431634,-0.07422390846678617,0.5620852668087761,0.006861601395824479,0.05739204492180017,-0.027724038951393304,0.05731563734722167,0.1629190871463848
REL00160,SEVAB,1.322295298557874,0.07738957354226361,0.14587274991955113,-0.0016281733623779715,-0.0029371200887640114,-0.026344379621234815,0.13679409027904654,0.13577888300844165
REL00163,Sjogerstads El,1.3273553854654674,0.04194559126722286,0.06537499511154454,0.261702713175227,0.043857958595205915,-0.026340431007554344,0.1506984054955307,0.05304382908197791
REL00164,Sjöbo Elnät,1.0016216199314254,0.050148845876596404,-0.19116932968430422,0.006582658475995373,0.10647888985311216,-0.026596234706666166,0.11134898513973646,-0.6703003046933942
REL00167,Skurups Elverk,0.11704327456718566,0.0025695707572603865,0.9303191975508884,0.0032819724455013244,0.04264997650498259,-0.03115830946494036,0.1688078810510918,0.13348375763730935
REL00168,Skyllbergs Bruk,0.48539220056051935,-0.10656671096007653,-0.9753855401440248,0.0066846194514136315,-0.0455728339570971,-0.027008468272460284,0.19986218180187976,0.15872963809933083
REL00169,Skånska Energi,0.16109566394006958,0.2282122699296396,0.24011284735521166,0.18531210672054765,0.29192474099706267,-0.027271801699657594,-0.15919056213196114,0.1368646708700183
REL00170,Skövde Energi,-0.15149599611022913,-0.04120372391055449,0.11161063983003983,-0.010039142823292657,0.0756545734043712,-0.0275288821037889,-0.0697049638754832,0.12793567108423387
REL00171,Smedjebacken Energi,0.12568813564506343,0.14027772662055238,-0.04764236283294476,-0.06196616262112986,0.12845216252141967,-0.02778495811610604,0.04566129538403629,0.0988767901630272
REL00173,Sollentuna Energi,-0.2624778780266235,-0.014647598107819793,-0.09323175282749396,-0.000537302235747994,0.05022386980083615,-0.031550891259946034,0.1317674166547267,0.16133892012432094
REL00175,Staffanstorps Energi,1.3050062660088457,-0.052616456916254606,0.43509394241962873,0.2402392386215757,0.029717834639564344,-0.02656243032359562,0.36527029726414195,0.15491979539976608
REL00177,Sturefors El,0.359939223274619,-0.2648609075366126,0.48155658582067495,0.00670971537954923,-0.5409626098363374,-0.12868322888044403,-0.6888282195017137,0.15932374696892015
REL00178,Sundsvall Elnät,1.0403675535922474,-0.0882945782415323,-1.0013013271057858,0.024085578178634215,0.007871087429855983,-0.028473571105069873,0.17994518844881568,0.1561364981876201
REL00182,Njudung Sävsjö,0.19849407843464117,-0.27106998665074045,1.1074377900409216,0.006742196449094351,0.007694836495053536,-0.027241259437071896,0.05040502346307374,0.16009266477774453
REL00183,Söderhamn Elnät,0.7854226073247039,0.025415596466982215,-0.5611362393388442,-0.05107823647649834,-0.03869161835969859,-0.026767851258213682,-0.13989847710618175,0.12934547266252316
REL00184,Södra Hallands Kraft,1.317627885578565,0.10981572961783481,-0.13145300191177434,0.015185655334271075,0.14492436085926652,-0.026348022513844604,0.11964577700840362,0.09342002038423836
REL00185,Sölvesborg Energi,0.8893982234486009,0.04477718187474444,0.5714660068539157,-0.035186507559625824,0.25459374283780534,0.1340306908861777,-0.3058173456273128,0.0997481013417012
REL00186,Telge Nät,-0.36538738599699583,-0.09504115604410668,-0.048160438290256735,0.0005373487936721766,0.03657479734447966,-0.027785772214750093,0.16012378445153796,0.1421018395690643
REL00187,Tibro Elnät,0.39686661821067837,0.05394209481017764,0.30269173348558276,0.0015498596017238242,0.018865071544738043,-0.02708001453501918,0.015714658057386366,0.09361898795932078
REL00191,Trollhättan Energi,-0.38620463357431634,0.09692865613533108,0.1581817142148334,0.006861601395824479,0.05739204492180017,-0.027724038951393304,0.05731563734722167,0.1629190871463848
REL00193,Töre Energi,1.1170304853016955,0.039332015863857706,0.24361263470100702,0.0065601479683152775,-0.01300186247121804,-0.026505224866335553,-0.30815389200680166,-1.1556693114168848
REL00195,Uddevalla Energi,0.11776927694671091,0.02515682542030273,-0.0936189019645095,-0.033567155367730805,0.08124340622956971,-0.02730724231263526,-0.12348523576081183,0.1604789858620448
REL00201,Vallebygdens Energi,0.3604405985279113,0.11700241511154452,-0.07683951227848151,0.006709614833400046,-5.0189741918060804e-05,-0.02710952741211692,0.11402140139951111,-0.10325006789488889
REL00203,Vara Energi,0.5958178183142593,0.08041790911492708,0.27375073191280297,0.0429531204676703,0.502504702973483,-0.026919575406725293,0.05027141757552034,0.14804973499855656
REL00204,Varberg Energi,0.46506217182946674,0.06695173069830584,-0.15781632461786543,-0.022040000016709804,0.06703317380407636,-0.027122833882597952,-0.0029351914179409633,0.08364226196959645
REL00205,Varbergsortens Elkraft,1.50887235256294,0.08842105194490912,-0.20993673127771562,0.006484480604851406,0.08318470133619194,-0.02619930568590334,-0.05387689281972641,0.05511427926900847
REL00235,Värnamo Elnät,0.15342086618232997,0.18953549802209757,0.35493423138173164,0.006751302126928316,0.184494717874073,-0.02727807514504299,0.18363102315612778,0.14900550255549927
REL00239,Västerviks Elnät,0.04213859197781389,0.20707121391696504,-0.24502136610764502,-0.03470320254415071,0.1103381286367,-0.02736925492474729,-0.14947494097504732,0.09267995976443011
REL00242,Västra Orust Energi,1.3038819650615485,0.045968792983130946,-0.017836000726467738,-0.059687677955944096,0.022808929956164015,-0.02635875504048979,0.14617783433228393,0.016166761459812662
REL00243,Växjö Energi,0.702992027250815,-0.06691103929905573,-0.2462032219972876,-0.009733911921050442,0.48511304500031827,-0.026833672729309477,-0.00929014587931487,0.15770611796463996
REL00244,Ystad Energi,0.950264980752924,-0.278412764133007,0.3303681880643561,-0.03568272370508829,0.09701716666499216,-0.02663686786994468,0.08072476954779084,0.10031565254131625
REL00246,Ålem Energi,1.3777302129869495,0.05440861378391837,-0.03606033022574007,-0.03362798658217425,0.0936155878347833,-0.02630116427537743,-0.08409109277729421,0.012895995757911116
REL00249,Årsunda Kraft,0.8596247547011604,0.17401474068712286,0.20132267797985381,-0.010141603538360577,0.001051339791957595,-0.026708784317186485,0.12477233553880307,0.15697479560998762
