REId,name_short,v_empty,v_full,phi_losses,phi_grid_subscription,phi_grid_connection,phi_feed_in,phi_capacity_reserve,phi_capex_adj,phi_cable,sum_phi
REL00064,Habo Kraft,1.422998863600422,1.4793899335287186,-0.054460249307830874,0.17317378468780717,-0.009527368442661057,0.010955948496737774,-0.004564032344994273,-0.008097193330405579,-0.0510898198303566,0.05639106992829655
REL00067,Hallstaviks Elverk,-0.38620463357431634,1.3843377515870836,-0.07240657422618678,1.5058928388860067,-0.012188296781951382,-0.03725196299135271,-0.006119148572912609,0.30494329606815695,0.08767223277963944,1.7705423851613995
REL00072,Herrljunga Elektriska,-0.15852745670620338,0.6551426099816293,0.015927201435592474,0.6601971391787452,-0.0073325424051083376,-0.02918771491223866,-0.003931789459508882,0.1026221296388161,0.07537564321153471,0.8136700666878325
REL00074,Hjärtums Elförening,0.7131306360206535,0.6141034132841616,0.23750575423187015,-1.0650006776303522,-0.00944993930619124,0.7539683672711485,-0.0038137282522852454,-0.09219306873613443,0.07995606968545253,-0.09902722273649196
REL00075,Hofors Elverk,0.13977944925784858,-0.434596521942332,0.020206896902144545,-0.733384080619407,-0.017071995632135475,0.05127223119172108,-0.0038867245806214618,0.05447028011346458,0.05401742142465319,-0.5743759712001806
REL00077,Härnösand Elnät,1.134594505330777,0.85977079934898,0.010260458471083565,-0.6377022115308102,-0.008105582057629446,0.03417478094408192,-0.005968606722946068,0.24789860045796167,0.08461885445646129,-0.27482370598179734
REL00078,Härryda Energi,1.8244601098569957,1.7610301314248566,-0.017423671439353014,-0.10902917816038199,-0.004111341137958862,-0.008366001667791006,-0.0008250413165721334,0.061657803941724175,0.014667451348193798,-0.06342997843213902
REL00080,Höganäs Energi,0.6404078446644368,0.9559350257908772,0.1305662653269332,-0.0176512850433566,0.0015250412660591933,0.0938939686071025,-0.007369928881916867,0.10444379922169966,0.010119320629919293,0.31552718112644035
REL00083,Jukkasjärvi,1.77469694141279,1.4163216451622551,-0.004770490663065232,-0.12115522414592755,0.07097286898285853,-0.020328441929779263,-0.008140396005004526,0.09943847541494835,-0.37439208790456524,-0.35837529625053494
REL00085,Jämtkraft,1.5974879773780648,0.7754680934274116,0.05950874330442327,-0.9419057284989697,-0.00705199254720742,-0.13141954004789447,-0.013750489244496442,0.14080029356821672,0.07179882951527468,-0.8220198839506534
REL00086,Jönköping Energi,0.5128838529746771,0.4852897310430704,0.11016792357145636,-0.745947047684738,0.09087001120203915,0.1606139187485992,-0.004728424619402794,0.2822262273777242,0.07920326947271512,-0.02759412193160675
REL00087,Kalmar Energi,-0.2227769164262483,-0.027477119682228768,-0.04519520285752341,0.3195577627216892,-0.025215108427911137,-0.10781044046474816,-0.004266516816930671,-0.02406682753723921,0.08229613012668306,0.19529979674401965
REL00090,Karlskoga Elnät,0.9432449494156225,0.7998239713284949,-0.023517375463553467,-0.22599822630566696,0.050862748179714944,-0.05979685270946977,-0.004189096837540893,0.10272861882658488,0.0164892062228036,-0.14342097808712762
REL00091,Affärsverken Karlskrona,1.574252552473232,1.476978759168479,-0.02576706229066858,-0.054307383396418205,-0.008715454156274477,-0.008438142947798814,-0.003973765571337672,-0.017163347024969328,0.021091362082714147,-0.09727379330475293
REL00092,Karlstads Elnät,0.5440006872844627,-0.13988127483396395,-0.07155196550507345,-0.6727143340582948,-0.02426640363253362,0.2040738919624421,-0.004006190058215115,-0.17833400278083103,0.06291704195407911,-0.6838819621184269
REL00093,Tekniska verken Katrineholm,-0.20905591808998425,-0.0201956014861282,-0.04844333430929755,-0.24829821403922925,-0.007424403892780121,0.0634586030811357,-0.003922865124316932,0.4562579901289739,-0.022767459240629454,0.18886031660385633
REL00098,Kristinehamns Elnät,1.4820966854006468,1.6589990395437404,0.030901902943795367,0.07238548684503118,-0.013343423415727562,0.006789441925255865,-0.004007287979632465,0.04862493099458022,0.03555130282979104,0.17690235414309366
REL00100,Kungälv Energi,0.7485589779334889,0.4528433991197067,0.16144567287227715,-0.3852753834903419,-0.013778156322685808,-0.02507029056206558,-0.003900189980996928,-0.09712876598208078,0.06799153465211162,-0.2957155788137823
REL00103,Landskrona Energi,-0.38620463357431634,0.2650205521006699,-0.09902918183844792,0.5481393547000784,-0.01004892229409804,0.013908212561817485,-0.0039536936283300185,0.11398603622256988,0.08822337995139631,0.6512251856749861
REL00106,Lerum Energi,0.8969235278882604,0.4024170871655963,-0.03322629340985377,-0.47066913164015217,-0.011662932027162596,0.006291599245827834,-0.005798033824218486,-0.06503720585835598,0.08559555679125101,-0.4945064407226642
REL00111,Tekniska verken Linköping,-0.38620463357431634,-0.2586823150839579,0.023611415073337944,-0.5787650887218918,-0.01734350272072622,0.131240206088208,-0.00405759260079614,0.5448243046816924,0.028012576690533836,0.12752231849035797
REL00112,Ljungby Energi,-0.38620463357431634,0.495123220254845,-0.10072888864587116,0.9202560568629584,-0.010121507424229565,-0.004836662988324445,-0.004330598180696915,0.023715491282062406,0.05737396292326255,0.8813278538291613
REL00113,Ljusdal Elnät,1.0527719391960844,0.5494820076471285,0.008444729449029466,-0.507774799645723,-0.015106403195833196,-0.01447388912516379,-0.003785436020261494,0.06292662220643963,-0.0335207552174435,-0.5032899315489558
REL00118,Luleå Energi,0.31134146149931485,-0.434596521942332,0.057282955025852345,-0.9044724773104791,-0.01056948812006197,-0.02092002686197203,-0.004294917351696249,0.08418062775407398,0.05285534342263595,-0.7459379834416471
REL00121,LEVA i Lysekil,0.4268980050999627,0.960144988483913,0.0067733178228573734,0.1804294229846198,-0.011392987714004942,0.08729377198026075,-0.0038590991353147446,0.23249245884991906,0.041510098595613096,0.5332469833839504
REL00123,Malung-Sälens Elnät,1.0056328188180252,1.8244601098569957,-0.010860232626323438,0.03352997982046384,0.6791762004189911,-0.07630818759468261,-0.017799819423009365,0.17471918550745508,0.03637016493607581,0.8188272910389703
REL00126,Mellersta Skånes Kraft,1.5919501030108751,1.2596431312691392,0.15607321470018284,-0.5719777321216257,-0.005089041731186469,-0.027494810021635296,-0.0039168818475604755,0.04991292755599967,0.07018535172408964,-0.33230697174173573
REL00127,Mjölby Kraft,1.538678092302903,1.0819195914448576,-0.009181465556604382,-0.637562739921583,-0.010893136145371296,0.18196695242768565,-0.0033490528397991538,0.16157591982648165,-0.13931497864885498,-0.45675850085804537
REL00128,Mölndal Energi,-0.37120397887215884,-0.22929932717358215,0.050830135017564566,-0.13217883129423771,-0.022076106715921424,-0.03753715421431676,-0.004515503373717274,0.19906869034888028,0.08831342193032497,0.14190465169857663
REL00130,Nacka Energi,1.5406171426347148,1.0857687000427774,-0.11593602294345666,-0.6212805128738427,0.08142576139558376,-0.030980185902495017,-0.006696786071494724,0.20306895185800233,0.03555035194576557,-0.4548484425919373
REL00133,Norrtälje Energi,0.7326397348875746,1.304192621415945,0.050476382811868496,-0.03622405809350587,-0.011636335857588146,0.08987844683455071,-0.004224908520621088,0.39821086747668827,0.0850724918769781,0.5715528865283704
REL00135,Nossebroortens Energi,0.7336897207753879,1.7100046160582583,-0.017796258700869007,0.6747611482533814,-0.006754993762778501,0.07728247652512511,-0.003824139108002417,0.17662757075267002,0.076019091323344,0.9763148952828706
REL00137,Nybro Elnät,0.8036671958256303,0.9992275985329702,-0.11027786913924001,0.1692015338525576,-0.008616031532583073,0.06484870852638115,-0.005191611056663043,0.07336101937431573,0.012234652682571493,0.19556040270733985
