REId,name_short,v_full,d_losses,d_grid_subscription,d_grid_connection,d_feed_in,d_capacity_reserve,d_capex_adj,d_cable
REL00149,PiteEnergi,-0.434596521942332,-0.030865442424177214,-0.07448656236994644,-0.0015696045217672427,-0.021645519331747742,0.0,0.06452460663758375,0.02561619394555459
REL00152,Ronneby Miljöteknik,0.9365798776656664,-0.06763848263282579,-0.04337723334790766,-0.010852911982017766,-0.1192728072805016,-0.002403069887213505,-0.14995915101811974,-0.06256901017467342
REL00156,Rödeby Elverk,1.2532724821437968,-0.08304013554722989,-0.22194736897451772,-0.0014924131869431534,-0.020867594959717017,0.0,0.0001191966172875425,0.011377972185999674
REL00157,Sala-Heby Energi,0.006729148872852697,0.005619151729385763,-0.4012780045519637,-0.0015489169248317225,0.02244677601661582,0.0,0.04345765992155304,0.02527838747343747
REL00158,Sandhult-Sandared,0.18613697829623632,-0.2525716678074774,0.5462469378686219,-0.0048379099895745625,0.027681731657125397,-0.002447964613394582,0.09188334949663535,-0.07556266208499363
REL00160,SEVAB,1.606960665728141,-0.09733414561525766,0.11201088946117821,-0.0038300983644878883,-0.033663655365923084,0.0,0.1454563735918013,0.024102190781771782
REL00163,Sjogerstads El,1.7465490973647135,-0.07791101249228216,0.1780807380918903,0.18726038584575555,-0.023420105617555365,0.0,0.15023559187461455,0.01682689422919381
REL00164,Sjöbo Elnät,0.2333561676257645,-0.09661800783193897,-0.18900902935159447,-0.0015384347079594463,0.09690543816589514,0.0,-0.06390254388919381,-0.909437906974353
REL00167,Skurups Elverk,1.3071326386496551,-0.08764729772270385,1.0953771320907357,-0.005438194915785566,-0.04966614948289649,-0.0032765969801618056,0.2232754734505793,0.023885736543971525
REL00168,Skyllbergs Bruk,-0.3510015071289896,-0.08877992221790754,-0.8597852810240392,-0.0015656577600609012,-0.13519846291878412,0.0,0.14811962145092616,0.025551747083951692
REL00169,Skånska Energi,0.8034614762995052,0.019919968848025604,0.11019990215530573,0.11775109817560026,0.17352394176548547,0.0,0.037667789784734396,0.01829790583049995
REL00170,Skövde Energi,-0.17473989904146503,-0.10320782369467318,0.1711903559895811,-0.018108563782748277,-0.028450343108266107,-0.001294247814653815,-0.11181481170390306,0.02481597298863436
REL00171,Smedjebacken Energi,0.1650444707040455,-0.006687721544040848,-0.2620071982862848,-0.04068003831492195,0.027539828056943882,-0.0005057379381279148,0.1033219829542853,-0.03177934409681615
REL00173,Sollentuna Energi,-0.27875009417618335,-0.06971364165728744,-0.013820764170202615,-0.010357980069752859,-0.051171532781402185,-0.004300650648769722,0.07483131773577956,0.025496219601695014
REL00175,Staffanstorps Energi,1.8244601098569957,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REL00177,Sturefors El,0.03529276503966283,-0.3663129593296732,0.3954027246120484,-0.0015475905328798945,-0.36074095482627744,-0.022467936831649382,-0.3043421915736255,0.02525672909601262
REL00178,Sundsvall Elnät,-0.07957961521529722,-0.04144770074079318,-1.139952402624278,0.013553880491268266,-0.08198398162424514,-0.001325072149571671,-0.15831872492766408,0.02534398184833586
REL00182,Njudung Sävsjö,1.2804095118585934,-0.19956197251522756,1.406274504973437,-0.009335527011122835,-0.04353558617256059,0.0,0.15953140228086582,-0.013567224390986787
REL00183,Söderhamn Elnät,-0.07315064799865434,-0.045577136241659044,-0.8012670489867868,-0.015869606274432346,-0.02804271441576578,0.0,-0.18945649113820684,0.025339088034137536
REL00184,Södra Hallands Kraft,1.5301205566038867,0.02979666554239202,-0.036556972451240455,0.0016627161228743859,0.0985390544522513,0.0,0.13002202014473774,0.0077350537391218666
REL00185,Sölvesborg Energi,1.6243436228400743,-0.06075609192628395,0.5458386906829205,-0.01610756298291438,0.08423430603394788,0.09729317786393299,-0.031255240289418396,0.02348227318120788
REL00186,Telge Nät,-0.434596521942332,-0.10762809246753768,-0.07448656236994644,-0.0015696045217672427,-0.021645519331747742,0.0,0.06452460663758375,0.02561619394555459
REL00187,Tibro Elnät,0.6400821713703042,-0.15259134484661985,0.31878459781937707,-0.010856601542141853,-0.0037371892356530267,0.0,0.004862191081822509,-0.1386425039630712
REL00191,Trollhättan Energi,0.01930923470685464,0.010542621951725728,-0.09363751663704623,0.07651389533800401,-0.005965322255052641,0.0,0.23351731008065535,0.025268845565107334
REL00193,Töre Energi,-0.21977651162595757,-0.13854015316170365,0.140333447946428,-0.0015594888943426533,-0.03862130082658011,0.0,-0.3190795909045474,-1.5424469177999556
REL00195,Uddevalla Energi,-0.07689901578926683,-0.038774922757833785,-0.36865811732593734,-0.016092921301280594,0.12760487889413863,0.0,-0.08913286435039414,0.025341941187650985
REL00201,Vallebygdens Energi,0.4434432201640748,-0.044809715311266984,0.2219240563758662,-0.0015288018290648964,-0.05267322147126663,0.0,0.15310409031166206,-0.019484242079648162
REL00203,Vara Energi,1.4238795009984706,-0.05904222506212253,0.16079446738330727,0.015773820485032175,0.31868855691865594,0.0,0.11968187483737402,0.0242330102296906
