subset_mask,players,REId,peer_REId,is_self,lambda_weight
0,(baseline),REL00160,REL00191,False,0.09489882588915959
0,(baseline),REL00160,REL03042,False,1.1057818815011486
0,(baseline),REL00160,REL03050,False,6.495727460679798
0,(baseline),REL00163,REL00003,False,2.0723645238149886
0,(baseline),REL00163,REL00033,False,0.007347102218755186
0,(baseline),REL00163,REL00158,False,0.3768877436531067
0,(baseline),REL00163,REL03050,False,2.0050463779386587
0,(baseline),REL00164,REL00003,False,4.446424233337344
0,(baseline),REL00164,REL00015,False,0.005226342346177342
0,(baseline),REL00164,REL00158,False,1.6533056501965162
0,(baseline),REL00164,REL00824,False,0.008678030095046526
0,(baseline),REL00167,REL00016,False,0.1361353424435291
0,(baseline),REL00167,REL00033,False,0.00875705192938118
0,(baseline),REL00167,REL00062,False,0.0021671652328169168
0,(baseline),REL00167,REL00067,False,0.6112721352323501
0,(baseline),REL00167,REL00191,False,0.0024826251170636847
0,(baseline),REL00168,REL00003,False,3.276661228707389
0,(baseline),REL00168,REL00255,False,0.050233343916970784
0,(baseline),REL00168,REL03042,False,0.016252902641337486
0,(baseline),REL00168,REL03050,False,0.15328398535245702
0,(baseline),REL00169,REL00003,False,5.810212013947318
0,(baseline),REL00169,REL00033,False,0.07526054910704723
0,(baseline),REL00169,REL00158,False,2.203831295343844
0,(baseline),REL00169,REL03042,False,0.6694624478256447
0,(baseline),REL00169,REL03050,False,3.9868346911240207
0,(baseline),REL00170,REL00033,False,0.038743235933486796
0,(baseline),REL00170,REL00062,False,0.0461972422767416
0,(baseline),REL00170,REL00067,False,3.532871555554925
0,(baseline),REL00170,REL00191,False,0.015782755967455018
0,(baseline),REL00171,REL00016,False,0.014423881573663462
0,(baseline),REL00171,REL00158,False,0.19455340609231586
0,(baseline),REL00171,REL00191,False,0.08645730970435855
0,(baseline),REL00171,REL03042,False,0.06489613708373226
0,(baseline),REL00173,REL00016,False,0.9210968949235812
0,(baseline),REL00173,REL00033,False,0.009578753150134067
0,(baseline),REL00173,REL00062,False,0.03438075703941577
0,(baseline),REL00173,REL00067,False,3.7932495532983017
0,(baseline),REL00175,REL00015,False,0.10344154032698333
0,(baseline),REL00175,REL00016,False,0.0215801084617562
0,(baseline),REL00175,REL00033,False,0.0186172543154047
0,(baseline),REL00175,REL00158,False,1.4021447335411206
0,(baseline),REL00177,REL00003,False,0.1624211204195943
0,(baseline),REL00177,REL00899,False,0.018850437528331432
0,(baseline),REL00177,REL03050,False,0.39552040866303023
0,(baseline),REL00178,REL00015,False,0.31530619501289736
0,(baseline),REL00178,REL00016,False,0.653409309157085
0,(baseline),REL00178,REL00033,False,0.09247851236256252
